Gini_Index,Median_Household_Income,Year,State,Region
0.4754,72577,2018,Virginia,South
0.4574,74073,2018,Washington,West
0.4742,44097,2018,West Virginia,South
0.4859,49861,2018,Alabama,South
0.4322,74346,2018,Alaska,West
0.4613,59246,2018,Arizona,West
0.4845,47062,2018,Arkansas,South
0.4912,75277,2018,California,West
0.4561,71953,2018,Colorado,West
0.4587,64805,2018,Delaware,South
0.5243,85203,2018,District of Columbia,South
0.5014,76348,2018,Connecticut,Northeast
0.4887,55462,2018,Florida,South
0.4822,58756,2018,Georgia,South
0.4454,55583,2018,Idaho,West
0.445,80212,2018,Hawaii,West
0.4852,65030,2018,Illinois,Midwest
0.4511,55746,2018,Indiana,Midwest
0.4413,59955,2018,Iowa,Midwest
0.4633,58218,2018,Kansas,Midwest
0.4787,50247,2018,Kentucky,South
0.4936,47905,2018,Louisiana,South
0.4516,55602,2018,Maine,Northeast
0.4543,83242,2018,Maryland,South
0.4875,79835,2018,Massachusetts,Northeast
0.4679,56697,2018,Michigan,Midwest
0.4536,70315,2018,Minnesota,Midwest
0.4896,45792,2019,Mississippi,South
0.4633,57409,2019,Missouri,Midwest
0.4597,57153,2019,Montana,West
0.44,63229,2019,Nebraska,Midwest
0.471,63276,2019,Nevada,West
0.4406,77933,2019,New Hampshire,Northeast
0.4782,85751,2019,New Jersey,Northeast
0.4768,51945,2019,New Mexico,West
0.5149,72108,2019,New York,Northeast
0.4743,57341,2019,North Carolina,South
0.4558,64577,2019,North Dakota,Midwest
0.4651,58642,2019,Ohio,Midwest
0.4739,54449,2019,Oklahoma,South
0.45,67058,2019,Oregon,West
0.4745,63463,2019,Pennsylvania,Northeast
0.4628,71169,2019,Rhode Island,Northeast
0.4747,56227,2019,South Carolina,South
0.436,59533,2019,South Dakota,Midwest
0.4749,56071,2019,Tennessee,South
0.4753,64034,2019,Texas,South
0.4471,63001,2019,Vermont,Northeast
0.4268,75780,2019,Utah,West
0.469,76456,2019,Virginia,South
0.4577,78687,2019,Washington,West
0.4644,48850,2019,West Virginia,South
0.4391,64168,2019,Wisconsin,Midwest
0.4345,65003,2019,Wyoming,West
0.48,69187,2019,Illinois,Midwest
0.4795,61980,2019,Georgia,South
0.4337,60999,2019,Idaho,West
0.4397,83102,2019,Hawaii,West
0.4584,57603,2019,Indiana,Midwest
0.4422,61691,2019,Iowa,Midwest
0.45,62087,2019,Kansas,Midwest
0.4764,52295,2019,Kentucky,South
0.4978,51073,2019,Louisiana,South
0.449,58924,2019,Maine,Northeast
0.4558,86738,2019,Maryland,South
0.4803,85843,2019,Massachusetts,Northeast
0.4634,59584,2019,Michigan,Midwest
0.4434,74593,2019,Minnesota,Midwest
0.5024,78833,2019,Connecticut,Northeast
0.4808,59227,2019,Florida,South
0.4741,51734,2019,Alabama,South
0.4376,75463,2019,Alaska,West
0.4591,62055,2019,Arizona,West
0.475,48952,2019,Arkansas,South
0.4866,80440,2019,California,West
0.4548,77127,2019,Colorado,West
0.4509,70176,2019,Delaware,South
0.5115,92266,2019,District of Columbia,South
0.4823,53913,2021,Alabama,South
0.4629,69056,2021,Arizona,West
0.4751,52528,2021,Arkansas,South
0.4924,84907,2021,California,West
0.4604,82254,2021,Colorado,West
